,1_day_pnl,1_day_open_avg,1_day_mean,1_day_std,1_day_var,4_hour_pnl,4_hour_open_avg,4_hour_mean,4_hour_std,4_hour_var,1_hour_pnl,1_hour_open_avg,1_hour_mean,1_hour_std,1_hour_var
f,3.41,12.9,0.01,0.25,0.06,1.31,13.06,0.01,0.17,0.03,-2.57,11.96,-0.01,0.09,0.01
ftnt,13.52,56.29,0.05,1.21,1.46,-2.32,51.48,-0.01,0.6,0.37,-0.54,50.97,-0.0,0.29,0.08
ftv,-1.68,63.79,-0.01,0.86,0.74,-9.09,60.87,-0.04,0.64,0.41,-2.28,58.01,-0.01,0.36,0.13
fbhs,-33.16,83.13,-0.13,1.61,2.58,-3.96,100.63,-0.02,1.02,1.03,-1.35,94.16,-0.01,0.43,0.18
foxa,2.45,32.76,0.01,0.51,0.26,2.91,35.08,0.01,0.39,0.15,-3.58,34.62,-0.01,0.28,0.08
fox,1.0,30.41,0.0,0.46,0.21,-8.74,31.6,-0.03,0.37,0.14,0.55,31.0,0.0,0.23,0.05
ben,-4.34,26.31,-0.02,0.47,0.22,-4.43,25.53,-0.02,0.27,0.07,-1.52,25.36,-0.01,0.16,0.03
fcx,7.89,35.78,0.03,0.81,0.65,-6.32,32.1,-0.03,0.47,0.22,-2.67,39.5,-0.01,0.32,0.1
gps,2.8,10.7,0.01,0.34,0.12,-0.34,9.43,-0.0,0.18,0.03,3.3,9.14,0.01,0.1,0.01
grmn,-19.35,95.11,-0.08,1.34,1.79,20.73,99.72,0.08,1.19,1.41,11.37,101.83,0.05,0.67,0.45
it,95.63,303.75,0.38,4.72,22.27,-61.0,270.7,-0.24,3.24,10.49,27.79,248.07,0.11,1.66,2.75
