stock,1_day,4_hour,1_hour
wu,1.28,0.71,0.45
wrk,1.34,0.96,0.52
wy,1.35,0.96,1.1
whr,1.54,0.86,0.54
wmb,1.16,0.7,0.41
wltw,1.04,0.65,0.45
wynn,1.83,1.07,0.8
xel,1.06,0.72,0.42
cah,1.08,1.91,1.08
kmx,2.02,1.12,0.61
ccl,2.93,1.45,0.92
carr,3.42,1.0,0.51
ctlt,2.15,1.34,0.52
cat,1.5,0.65,0.46
cboe,1.24,0.76,0.38
cbre,1.27,0.87,0.48
cdw,1.22,0.83,0.47
ce,1.67,1.83,1.14
cnc,1.69,0.81,0.83
cnp,1.04,0.68,0.42
cern,0.64,0.46,0.35
cf,2.01,1.07,1.92
crl,1.7,1.19,0.56
schw,1.97,0.78,0.41
chtr,1.65,0.99,0.54
cvx,1.23,0.67,0.46
cmg,1.28,1.18,0.72
cb,0.97,1.51,0.42
chd,0.86,0.66,0.43
ci,1.07,0.62,0.45
cinf,1.25,0.81,0.42
ctas,1.02,0.74,0.48
csco,1.29,0.67,0.52
c,1.2,0.62,0.4
cfg,1.78,0.78,0.45
ctxs,1.01,0.85,0.44
clx,1.05,0.78,0.55
cme,1.29,0.83,0.48
cms,1.05,0.75,0.37
ko,0.88,0.42,0.33
ctsh,1.16,0.68,0.44
cl,0.8,0.59,0.38
cmcsa,1.25,0.58,0.38
cma,1.91,1.03,0.44
cag,0.8,0.57,0.42
cop,1.62,0.95,0.57
ed,1.3,0.66,0.42
stz,1.1,0.84,0.41
coo,1.98,0.86,0.46
cprt,1.16,0.73,0.73
glw,1.45,0.8,0.61
ctva,3.15,0.74,0.44
cost,1.35,0.66,0.5
cci,1.46,0.81,0.51
csx,1.09,0.59,0.41
cmi,1.14,0.73,0.5
cvs,1.01,0.58,0.41
dhi,1.43,2.29,0.6
dhr,1.17,0.73,0.38
dri,1.16,0.94,0.59
dva,1.51,1.0,1.2
de,1.24,0.7,0.49
dal,1.61,0.82,0.63
xray,1.45,0.89,0.49
